,0,1,2
82,https://www.amazon.com.br/Poliuretano-Customic-Protetora-Celular-Transparente/dp/B07K379TLX/ref=sr_1_83?dchild=1&keywords=iphone&qid=1607914788&sr=8-83,"4,5 de 5 estrelas",81
83,https://www.amazon.com.br/iPhone-Spigen-Crystal-Anti-Impacto-Transparente/dp/B07SZHHK5L/ref=sr_1_84?dchild=1&keywords=iphone&qid=1607914788&sr=8-84,"4,4 de 5 estrelas",4.778
84,https://www.amazon.com.br/Iphone-Plus-Apple-Dourado-Desbloqueado/dp/B07QSCTGLD/ref=sr_1_85?dchild=1&keywords=iphone&qid=1607914788&sr=8-85,Sem avaliação,Sem avaliação
85,https://www.amazon.com.br/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.0ab3d096-0652-454c-fb82-ba6ac3b8063f%26ref_%3Ddvm_src_ret_br_xx_s&page-type-id=B07WJ7L3DG&ref=sr_1_86&keywords=iphone&qid=1607914788&sr=8-86,"4,7 de 5 estrelas",6.314
86,https://www.amazon.com.br/Smartphone-Xiaomi-64GB-4GB-Azul/dp/B07VD3JH2C/ref=sr_1_87?dchild=1&keywords=iphone&qid=1607914788&sr=8-87,"4,8 de 5 estrelas",5.050
87,https://www.amazon.com.br/iPhone-Spigen-Crystal-Anti-Impacto-Transparente/dp/B07SZJ2BMV/ref=sr_1_88?dchild=1&keywords=iphone&qid=1607914788&sr=8-88,"4,7 de 5 estrelas",17.023
88,https://www.amazon.com.br/Pelicula-Hprime-invisivel-Protetora-Transparente/dp/B07LC5XBGQ/ref=sr_1_89?dchild=1&keywords=iphone&qid=1607914788&sr=8-89,"3,7 de 5 estrelas",33
89,https://www.amazon.com.br/Carregador-carregamento-compat%C3%ADvel-dispositivos-habilitados/dp/B08PFRB8R7/ref=sr_1_90?dchild=1&keywords=iphone&qid=1607914788&sr=8-90,Sem avaliação,Sem avaliação
90,https://www.amazon.com.br/Cabo-Apple-Lightning-Elg-Cnv810Pk/dp/B07D3Y5QS4/ref=sr_1_91?dchild=1&keywords=iphone&qid=1607914788&sr=8-91,"3,7 de 5 estrelas",351
91,https://www.amazon.com.br/Apple-iPhone-Pro-Max-512Gb/dp/B07YJ53BFK/ref=sr_1_92?dchild=1&keywords=iphone&qid=1607914788&sr=8-92,Sem avaliação,Sem avaliação
